feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
V22,-0.010281790779116624,0.029913524628473003,-0.013143602649488112,-0.010313215991738768,0.05167195635069233,-0.012841758394926055,-0.013657123561373405,0.008624489379680408,0.016221639446021875,-0.011526538139777645,0.007183527806098122,-1.868128000287081e-4,0.032751344478199565,0.02661451710918279,-0.01466164689258964,0.004943620923478641,-0.019453081876937745,0.015438416475670493,0.003978149895177683,0.022364664400388177,0.0012858671955035292,0.005462440045418329,-0.003358346709708767,-0.008664873996725655,0.005994618090431832,0.012210109936793606,0.007979956567997487,-0.017724714533621885,7.747311922019616e-4,-0.019596892723307967
V23,0.007224569933030689,-0.0031058551681068585,-0.0068478348087522055,0.013182880410495002,-0.010859616853184291,0.01437065140762043,0.0046269805666982215,-0.005010376040030315,-0.011329165817443526,0.017374009934415045,-0.006664462982669013,0.010361923509430477,0.023191979693158934,0.035428855721828016,-0.0060123480943173714,0.003469303864457706,-0.0066119754119035755,-0.0033353693051085933,-0.004248673485224551,-0.004712174628834931,-0.03475729337187754,0.014151182496937876,-0.02792472851701529,-0.08404009460296552,-0.036240749338353424,-0.013598814513774461,-0.02313281966031271,-0.024178964389801553,0.013769489803013601,-0.0027582006636952114
V24,-0.0011557598120224683,-0.004073061875428138,-0.02072025339412863,0.025205443232499136,-0.004165976230000501,-0.0058471798650536816,0.005720880026297121,0.03882978588244357,0.021965452915210102,-0.010667229622169377,0.02442601030053097,0.014978374761342155,-0.011424697359730262,-0.004271173585433551,0.00659468040534975,-0.004722842383969169,0.016200686255805574,-0.014748559538428387,-0.0010616959440333867,0.011664652794030167,0.027265595492617437,0.0077066089408849596,0.0074184427580917655,-0.044086822827707206,-0.013908575687940983,0.03329769401254185,0.012504947218795463,0.03466319156588472,0.006331295076484725,-0.021912287777736846
V25,0.01678138983455401,-0.02453000516045727,0.011395452085368744,0.010968987434298184,0.011948327635194501,-0.029301255192095085,0.007576490347907817,0.039284553894737596,-0.02011652202085978,-0.003376651246710514,0.0021190724730236156,-0.021582354849073837,0.02073570341305973,0.01445175030130078,-0.030846224783699652,0.021421925174680202,-0.002086349062593899,-0.0031140312947648256,5.582996984565241e-4,-0.002087209442731496,-0.02165651531982245,-0.04482662438751534,0.0251767014658557,-0.004795570908865044,0.010938747084510175,0.003066601077618675,0.018043006798411556,-0.012832001327793796,0.02084336582452877,-0.0037198719302769133
V26,-0.002593397017926522,-0.005055550971326714,-0.004994661647582401,0.009890464800017465,0.021945313970537537,-0.02323145012431369,-0.010610192686120188,-0.017085299992746432,-0.002447488501281988,-0.004594381924012947,-0.020610195352351857,0.013840953209622659,-0.004534278059498065,-0.005817832105300907,-0.009782728949161108,-0.0031072771839009143,-0.019524975892990806,-0.01928199824846685,-0.011493443608528775,-0.01405164880884594,0.00284545518465848,0.02062791421661596,-0.013104854377452544,-0.0010769176267122578,-0.03562873760487854,-0.007224563207615576,-0.032385550064262004,4.5587508505920817e-4,-0.018151271194655816,0.001073874205212953
V27,0.003062234469473052,0.026940091405095654,0.02707740704306497,-0.0036907672101079464,-0.0072594496639645355,0.002170669933135405,0.03012139874116373,0.003256758735512486,0.008241487180712343,-0.012767696251362261,0.014475735386880588,-0.023399018103961826,-5.057848581356005e-4,0.003109067943324921,0.005169071729565621,-0.029126517434014034,-0.015762415573214023,0.0033302185136875025,-0.0023787841212569755,0.023312870909719757,-0.024849767571160357,0.02266920102571369,0.00816113728309774,0.023865038881918803,-0.002156622205456294,0.04186003907265624,-0.013184241719779242,8.833600693200312e-4,-0.03178423613361754,0.007352344436838682
V28,0.004244637667483282,0.006300896500580812,0.006815689116532857,0.017973130255291594,0.0022587427050210257,-0.024753620868085024,0.03414285366847769,0.007104215624838278,-0.03593948370616076,-0.010655413067807202,0.0016483873388473064,0.02767541504408472,-0.004267174486623104,0.011814034610945968,-0.01946863969161456,0.0490985750043212,-0.01055941708482386,0.02112126960631094,0.002762663000151724,0.013445123353257966,0.02754193451441945,0.002265917127274706,-0.018352203973846654,-0.01534591755457393,-0.005563995674033696,0.018295010040430503,0.010662179397375111,0.01351885198622241,0.007476407144678573,-0.03306955377075306
V29,0.031132260151087467,-0.010871071514643511,0.014291000760711802,0.008314193225538684,-0.021105485789574947,-0.043230255806991136,-0.01157176890210695,0.0025716053775414302,-0.022201662928154536,0.007978912169115514,0.014352310613610485,0.004782816329525299,0.014770339660977364,-0.013805935518029552,0.005398088398743992,-0.019087255878567966,0.010745193944957711,0.01648572677151865,1.3998170729743396e-4,0.01008950231025334,-0.00284718376769568,0.017782932942304347,0.006831997561428225,0.009175056342984992,0.023800312270795626,-0.007873304208952651,0.007081186789289797,0.005808733991316626,0.008020577294238286,0.013681819086084087
V30,0.013996107281754763,-0.00506217450465749,-0.030871786528708513,0.016615181661766957,5.952424686174511e-4,-0.007495328865261674,0.003935046712416563,-0.024619856790907453,0.008084967575446543,-0.005640742585859213,-0.012802926336583847,0.0015097866129576865,0.00480743455369196,-0.03130721620012097,-0.030176900372627862,-0.011221965833277687,0.027537763572722602,0.007503342689247777,0.007339407371775723,-0.006509739355537896,0.01087216075499608,-0.033628672742412685,0.018524843553471105,0.0383936635044517,0.01810066535993009,-0.030627086458064914,-0.027543429279279365,-0.022405607159270223,-0.007931813574252638,-0.004242978448072696
V31,0.022282452586416493,0.027974504482992237,0.010847162794819475,0.01270550037489747,-0.01454848187532261,0.00286803202435064,0.025819721887526462,-0.005642424003674318,-0.004834985306279575,-0.012114142208279607,0.005483100200070644,-0.0018478154995803342,-0.003190917232314125,0.030633732127762704,-0.0014500904475166674,0.019577373255833787,0.02047168355823132,0.011193371479907135,0.023881121127527157,-0.004697789790993138,0.024351506432835304,0.015620658555971653,0.001719063606849216,-0.019110012661254856,0.0013569332405141525,-0.001409277104257475,0.04006990521954972,-0.007884833761905569,-0.007542105617772872,0.0010522820119277603
